file_id,dataset,scenario,branch,track,llm_version,run_id,output_type,expected_model,expected_hyperparameters,t0_format_followed,t1_format_followed,t1_has_previous_summary,t1_overcleaned_flag,t2_format_followed,t2_has_previous_summary,t2_model_confirmed_nonempty,t2_hyperparams_confirmed_nonempty,t2_understands_blockwise,t2_understands_retraining,t2_understands_groundtruth,t3_parse_success,t3_extra_text_flag,t3_has_seed,t3_reads_csv,t3_correct_split_80_20,t3_correct_block_size,t3_retraining_implemented,t3_uses_ground_truth,t3_remainder_handled,t3_prints_forecasts,code_model_matches_expected,code_hyperparams_match_expected,script_uses_expected_family,format_follow_score,scenario_understanding_score,code_structure_score,model_hyperparam_score,turn0_score,turn1_score,turn2_score,turn3_score,overall_protocol_score,strict_protocol_pass
Part2-AirPassengers-S1-Base-GPT55-Run2,AirPassengers,S1,Base,baseline,GPT55,2,SCRIPT,ExponentialSmoothing,"{""damped_trend"": false, ""seasonal"": ""mul"", ""seasonal_periods"": 12, ""trend"": ""add""}",True,True,True,False,True,True,True,True,False,False,True,True,False,True,True,True,True,False,False,False,True,,True,,100.0,60.0,66.67,100.0,100.0,100.0,71.43,72.73,81.67,False
Part2-AirPassengers-S1-Base-GPT55-Run3,AirPassengers,S1,Base,baseline,GPT55,3,SCRIPT,ExponentialSmoothing,"{""damped_trend"": false, ""seasonal"": ""mul"", ""seasonal_periods"": 12, ""trend"": ""add""}",True,True,True,False,True,True,True,True,False,False,True,True,False,True,True,True,True,False,False,False,True,,True,,100.0,60.0,66.67,100.0,100.0,100.0,71.43,72.73,81.67,False
Part2-AirPassengers-S1-Base-Grok43-Run1,AirPassengers,S1,Base,baseline,Grok43,1,SCRIPT,ExponentialSmoothing,"{""damped_trend"": false, ""seasonal"": ""mul"", ""seasonal_periods"": 12, ""trend"": ""add""}",True,True,False,False,True,False,True,True,False,False,False,True,False,True,True,False,True,False,False,False,True,,True,,66.67,40.0,55.56,100.0,100.0,66.67,42.86,63.64,65.56,False
Part2-AirPassengers-S1-Base-Grok43-Run2,AirPassengers,S1,Base,baseline,Grok43,2,SCRIPT,ExponentialSmoothing,"{""damped_trend"": false, ""seasonal"": ""mul"", ""seasonal_periods"": 12, ""trend"": ""add""}",True,True,False,False,True,False,True,True,False,False,True,True,False,False,True,False,True,False,False,False,True,,True,,66.67,60.0,44.44,100.0,100.0,66.67,57.14,54.55,67.78,False
Part2-AirPassengers-S1-Base-Grok43-Run3,AirPassengers,S1,Base,baseline,Grok43,3,SCRIPT,ExponentialSmoothing,"{""damped_trend"": false, ""seasonal"": ""mul"", ""seasonal_periods"": 12, ""trend"": ""add""}",True,True,False,False,True,False,True,True,False,False,False,True,False,True,True,False,True,False,False,False,True,,True,,66.67,40.0,55.56,100.0,100.0,66.67,42.86,63.64,65.56,False
Part2-AirPassengers-S1-Base-KimiK26-Run1,AirPassengers,S1,Base,baseline,KimiK26,1,SCRIPT,ExponentialSmoothing,"{""damped_trend"": false, ""seasonal"": ""mul"", ""seasonal_periods"": 12, ""trend"": ""add""}",True,True,True,False,True,True,True,True,False,False,False,True,False,True,True,True,True,False,False,False,True,,True,,100.0,40.0,66.67,100.0,100.0,100.0,57.14,72.73,76.67,False
Part2-AirPassengers-S1-Base-KimiK26-Run2,AirPassengers,S1,Base,baseline,KimiK26,2,SCRIPT,ExponentialSmoothing,"{""damped_trend"": false, ""seasonal"": ""mul"", ""seasonal_periods"": 12, ""trend"": ""add""}",True,True,True,False,True,True,True,True,False,False,False,True,False,True,True,False,True,False,False,False,True,,True,,100.0,40.0,55.56,100.0,100.0,100.0,57.14,63.64,73.89,False
Part2-AirPassengers-S1-Base-KimiK26-Run3,AirPassengers,S1,Base,baseline,KimiK26,3,SCRIPT,ExponentialSmoothing,"{""damped_trend"": false, ""seasonal"": ""mul"", ""seasonal_periods"": 12, ""trend"": ""add""}",True,True,True,False,True,True,True,True,False,False,False,True,False,True,True,True,True,False,False,False,True,,True,,100.0,40.0,66.67,100.0,100.0,100.0,57.14,72.73,76.67,False
Part2-AirPassengers-S1-ChalDL-ClaudeOpus47-Run1,AirPassengers,S1,ChalDL,challenger_dl,ClaudeOpus47,1,SCRIPT,LSTM,"{""batch_size"": 16, ""epochs"": 50, ""hidden_size"": 64, ""input_size"": 1, ""lr"": 0.001, ""num_layers"": 2, ""pred_len"": 1, ""seq_len"": 12}",True,True,True,False,True,True,True,True,False,False,False,True,False,True,True,True,True,False,True,False,True,True,True,True,100.0,40.0,77.78,100.0,100.0,100.0,57.14,84.62,79.44,False
Part2-AirPassengers-S1-ChalDL-ClaudeOpus47-Run2,AirPassengers,S1,ChalDL,challenger_dl,ClaudeOpus47,2,SCRIPT,LSTM,"{""batch_size"": 16, ""epochs"": 50, ""hidden_size"": 64, ""input_size"": 1, ""lr"": 0.001, ""num_layers"": 2, ""pred_len"": 1, ""seq_len"": 12}",True,True,True,False,True,True,True,True,False,False,False,True,False,True,True,True,True,False,True,False,True,True,True,True,100.0,40.0,77.78,100.0,100.0,100.0,57.14,84.62,79.44,False
Part2-AirPassengers-S1-ChalDL-ClaudeOpus47-Run3,AirPassengers,S1,ChalDL,challenger_dl,ClaudeOpus47,3,SCRIPT,LSTM,"{""batch_size"": 16, ""epochs"": 50, ""hidden_size"": 64, ""input_size"": 1, ""lr"": 0.001, ""num_layers"": 2, ""pred_len"": 1, ""seq_len"": 12}",True,True,True,False,True,True,True,True,False,False,False,True,False,True,True,True,True,False,True,False,True,True,True,True,100.0,40.0,77.78,100.0,100.0,100.0,57.14,84.62,79.44,False
Part2-AirPassengers-S1-ChalDL-DeepSeekV4Pro-Run1,AirPassengers,S1,ChalDL,challenger_dl,DeepSeekV4Pro,1,SCRIPT,LSTM,"{""batch_size"": 16, ""epochs"": 50, ""hidden_size"": 64, ""input_size"": 1, ""lr"": 0.001, ""num_layers"": 2, ""pred_len"": 1, ""seq_len"": 12}",True,True,False,False,True,False,True,True,False,False,False,True,False,True,True,True,True,False,True,False,True,True,True,True,66.67,40.0,77.78,100.0,100.0,66.67,42.86,84.62,71.11,False
Part2-AirPassengers-S1-ChalDL-DeepSeekV4Pro-Run2,AirPassengers,S1,ChalDL,challenger_dl,DeepSeekV4Pro,2,SCRIPT,LSTM,"{""batch_size"": 16, ""epochs"": 50, ""hidden_size"": 64, ""input_size"": 1, ""lr"": 0.001, ""num_layers"": 2, ""pred_len"": 1, ""seq_len"": 12}",True,True,True,False,True,True,True,True,False,False,False,True,False,True,True,True,True,False,True,False,True,True,True,True,100.0,40.0,77.78,100.0,100.0,100.0,57.14,84.62,79.44,False
Part2-AirPassengers-S1-ChalDL-DeepSeekV4Pro-Run3,AirPassengers,S1,ChalDL,challenger_dl,DeepSeekV4Pro,3,SCRIPT,LSTM,"{""batch_size"": 16, ""epochs"": 50, ""hidden_size"": 64, ""input_size"": 1, ""lr"": 0.001, ""num_layers"": 2, ""pred_len"": 1, ""seq_len"": 12}",True,True,False,False,True,True,True,True,False,False,False,True,False,True,True,True,True,False,True,False,True,True,True,True,83.33,40.0,77.78,100.0,100.0,66.67,57.14,84.62,75.28,False
Part2-AirPassengers-S1-ChalDL-Gemini31Pro-Run1,AirPassengers,S1,ChalDL,challenger_dl,Gemini31Pro,1,SCRIPT,LSTM,"{""batch_size"": 16, ""epochs"": 50, ""hidden_size"": 64, ""input_size"": 1, ""lr"": 0.001, ""num_layers"": 2, ""pred_len"": 1, ""seq_len"": 12}",True,True,True,False,True,True,True,True,False,False,False,True,False,True,True,True,True,False,True,False,False,True,True,True,100.0,40.0,66.67,100.0,100.0,100.0,57.14,76.92,76.67,False
Part2-AirPassengers-S1-ChalDL-Gemini31Pro-Run2,AirPassengers,S1,ChalDL,challenger_dl,Gemini31Pro,2,SCRIPT,LSTM,"{""batch_size"": 16, ""epochs"": 50, ""hidden_size"": 64, ""input_size"": 1, ""lr"": 0.001, ""num_layers"": 2, ""pred_len"": 1, ""seq_len"": 12}",True,True,True,False,True,True,True,True,False,False,False,True,False,True,True,True,True,False,True,False,True,True,True,True,100.0,40.0,77.78,100.0,100.0,100.0,57.14,84.62,79.44,False
Part2-AirPassengers-S1-ChalDL-Gemini31Pro-Run3,AirPassengers,S1,ChalDL,challenger_dl,Gemini31Pro,3,SCRIPT,LSTM,"{""batch_size"": 16, ""epochs"": 50, ""hidden_size"": 64, ""input_size"": 1, ""lr"": 0.001, ""num_layers"": 2, ""pred_len"": 1, ""seq_len"": 12}",True,True,True,False,True,True,True,True,False,False,False,True,False,True,True,True,True,False,True,False,True,True,True,True,100.0,40.0,77.78,100.0,100.0,100.0,57.14,84.62,79.44,False
Part2-AirPassengers-S1-ChalDL-GPT55-Run1,AirPassengers,S1,ChalDL,challenger_dl,GPT55,1,SCRIPT,LSTM,"{""batch_size"": 16, ""epochs"": 50, ""hidden_size"": 64, ""input_size"": 1, ""lr"": 0.001, ""num_layers"": 2, ""pred_len"": 1, ""seq_len"": 12}",True,True,True,False,True,True,True,True,False,False,False,True,False,True,True,True,True,False,True,False,True,True,True,True,100.0,40.0,77.78,100.0,100.0,100.0,57.14,84.62,79.44,False
Part2-AirPassengers-S1-ChalDL-GPT55-Run2,AirPassengers,S1,ChalDL,challenger_dl,GPT55,2,SCRIPT,LSTM,"{""batch_size"": 16, ""epochs"": 50, ""hidden_size"": 64, ""input_size"": 1, ""lr"": 0.001, ""num_layers"": 2, ""pred_len"": 1, ""seq_len"": 12}",True,True,True,False,True,True,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,100.0,60.0,77.78,100.0,100.0,100.0,71.43,84.62,84.44,False
Part2-AirPassengers-S1-ChalDL-GPT55-Run3,AirPassengers,S1,ChalDL,challenger_dl,GPT55,3,SCRIPT,LSTM,"{""batch_size"": 16, ""epochs"": 50, ""hidden_size"": 64, ""input_size"": 1, ""lr"": 0.001, ""num_layers"": 2, ""pred_len"": 1, ""seq_len"": 12}",True,True,True,False,True,True,True,True,False,False,False,True,False,True,True,True,True,False,True,False,True,True,True,True,100.0,40.0,77.78,100.0,100.0,100.0,57.14,84.62,79.44,False
Part2-AirPassengers-S1-ChalDL-Grok43-Run1,AirPassengers,S1,ChalDL,challenger_dl,Grok43,1,SCRIPT,LSTM,"{""batch_size"": 16, ""epochs"": 50, ""hidden_size"": 64, ""input_size"": 1, ""lr"": 0.001, ""num_layers"": 2, ""pred_len"": 1, ""seq_len"": 12}",True,True,False,False,True,False,True,True,False,False,False,True,False,True,True,False,True,False,False,False,True,True,True,True,66.67,40.0,55.56,100.0,100.0,66.67,42.86,69.23,65.56,False
Part2-AirPassengers-S1-ChalDL-Grok43-Run2,AirPassengers,S1,ChalDL,challenger_dl,Grok43,2,SCRIPT,LSTM,"{""batch_size"": 16, ""epochs"": 50, ""hidden_size"": 64, ""input_size"": 1, ""lr"": 0.001, ""num_layers"": 2, ""pred_len"": 1, ""seq_len"": 12}",True,True,False,False,True,False,True,True,False,False,False,True,False,True,True,False,True,False,False,False,True,True,True,True,66.67,40.0,55.56,100.0,100.0,66.67,42.86,69.23,65.56,False
Part2-AirPassengers-S1-ChalDL-Grok43-Run3,AirPassengers,S1,ChalDL,challenger_dl,Grok43,3,SCRIPT,LSTM,"{""batch_size"": 16, ""epochs"": 50, ""hidden_size"": 64, ""input_size"": 1, ""lr"": 0.001, ""num_layers"": 2, ""pred_len"": 1, ""seq_len"": 12}",True,True,False,False,True,False,True,True,False,False,False,True,False,True,True,True,True,False,False,False,True,True,True,True,66.67,40.0,66.67,100.0,100.0,66.67,42.86,76.92,68.34,False
Part2-AirPassengers-S1-ChalDL-KimiK26-Run1,AirPassengers,S1,ChalDL,challenger_dl,KimiK26,1,SCRIPT,LSTM,"{""batch_size"": 16, ""epochs"": 50, ""hidden_size"": 64, ""input_size"": 1, ""lr"": 0.001, ""num_layers"": 2, ""pred_len"": 1, ""seq_len"": 12}",True,True,True,False,True,True,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,100.0,60.0,77.78,100.0,100.0,100.0,71.43,84.62,84.44,False
Part2-AirPassengers-S1-ChalDL-KimiK26-Run2,AirPassengers,S1,ChalDL,challenger_dl,KimiK26,2,SCRIPT,LSTM,"{""batch_size"": 16, ""epochs"": 50, ""hidden_size"": 64, ""input_size"": 1, ""lr"": 0.001, ""num_layers"": 2, ""pred_len"": 1, ""seq_len"": 12}",True,True,True,False,True,True,True,True,False,False,False,True,False,True,True,True,True,False,True,False,True,True,True,True,100.0,40.0,77.78,100.0,100.0,100.0,57.14,84.62,79.44,False
Part2-AirPassengers-S1-ChalDL-KimiK26-Run3,AirPassengers,S1,ChalDL,challenger_dl,KimiK26,3,SCRIPT,LSTM,"{""batch_size"": 16, ""epochs"": 50, ""hidden_size"": 64, ""input_size"": 1, ""lr"": 0.001, ""num_layers"": 2, ""pred_len"": 1, ""seq_len"": 12}",True,True,True,False,True,True,True,True,False,False,False,True,False,True,True,True,True,False,True,False,True,True,True,True,100.0,40.0,77.78,100.0,100.0,100.0,57.14,84.62,79.44,False
Part2-AirPassengers-S1-ChalML-ClaudeOpus47-Run1,AirPassengers,S1,ChalML,challenger_ml,ClaudeOpus47,1,SCRIPT,LightGBM,"{""lags"": 12, ""learning_rate"": 0.05, ""max_depth"": 6, ""multi_step_strategy"": ""N/A"", ""n_estimators"": 300}",True,True,True,False,True,True,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,100.0,60.0,77.78,100.0,100.0,100.0,71.43,84.62,84.44,False
Part2-AirPassengers-S1-ChalML-ClaudeOpus47-Run2,AirPassengers,S1,ChalML,challenger_ml,ClaudeOpus47,2,SCRIPT,LightGBM,"{""lags"": 12, ""learning_rate"": 0.05, ""max_depth"": 6, ""multi_step_strategy"": ""N/A"", ""n_estimators"": 300}",True,True,True,False,True,True,True,True,False,False,False,True,False,True,True,True,True,False,True,False,True,True,True,True,100.0,40.0,77.78,100.0,100.0,100.0,57.14,84.62,79.44,False
Part2-AirPassengers-S1-ChalML-ClaudeOpus47-Run3,AirPassengers,S1,ChalML,challenger_ml,ClaudeOpus47,3,SCRIPT,LightGBM,"{""lags"": 12, ""learning_rate"": 0.05, ""max_depth"": 6, ""multi_step_strategy"": ""N/A"", ""n_estimators"": 300}",True,True,True,False,True,True,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,100.0,60.0,77.78,100.0,100.0,100.0,71.43,84.62,84.44,False
Part2-AirPassengers-S1-ChalML-DeepSeekV4Pro-Run1,AirPassengers,S1,ChalML,challenger_ml,DeepSeekV4Pro,1,SCRIPT,LightGBM,"{""lags"": 12, ""learning_rate"": 0.05, ""max_depth"": 6, ""multi_step_strategy"": ""N/A"", ""n_estimators"": 300}",True,True,True,False,True,True,True,True,False,False,False,True,False,True,True,True,True,False,True,False,True,True,True,True,100.0,40.0,77.78,100.0,100.0,100.0,57.14,84.62,79.44,False
Part2-AirPassengers-S1-ChalML-DeepSeekV4Pro-Run2,AirPassengers,S1,ChalML,challenger_ml,DeepSeekV4Pro,2,SCRIPT,LightGBM,"{""lags"": 12, ""learning_rate"": 0.05, ""max_depth"": 6, ""multi_step_strategy"": ""N/A"", ""n_estimators"": 300}",True,True,True,False,True,True,True,True,False,False,False,True,False,True,True,True,True,False,True,False,True,True,True,True,100.0,40.0,77.78,100.0,100.0,100.0,57.14,84.62,79.44,False
Part2-AirPassengers-S1-ChalML-DeepSeekV4Pro-Run3,AirPassengers,S1,ChalML,challenger_ml,DeepSeekV4Pro,3,SCRIPT,LightGBM,"{""lags"": 12, ""learning_rate"": 0.05, ""max_depth"": 6, ""multi_step_strategy"": ""N/A"", ""n_estimators"": 300}",True,True,False,False,True,False,True,True,False,False,False,True,False,True,True,True,True,False,True,False,True,True,True,True,66.67,40.0,77.78,100.0,100.0,66.67,42.86,84.62,71.11,False
Part2-AirPassengers-S1-ChalML-Gemini31Pro-Run1,AirPassengers,S1,ChalML,challenger_ml,Gemini31Pro,1,SCRIPT,LightGBM,"{""lags"": 12, ""learning_rate"": 0.05, ""max_depth"": 6, ""multi_step_strategy"": ""N/A"", ""n_estimators"": 300}",True,True,True,False,True,True,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,100.0,60.0,77.78,100.0,100.0,100.0,71.43,84.62,84.44,False
Part2-AirPassengers-S1-ChalML-Gemini31Pro-Run2,AirPassengers,S1,ChalML,challenger_ml,Gemini31Pro,2,SCRIPT,LightGBM,"{""lags"": 12, ""learning_rate"": 0.05, ""max_depth"": 6, ""multi_step_strategy"": ""N/A"", ""n_estimators"": 300}",True,True,True,False,True,True,True,True,False,False,False,True,False,True,True,True,True,False,True,False,True,True,True,True,100.0,40.0,77.78,100.0,100.0,100.0,57.14,84.62,79.44,False
Part2-AirPassengers-S1-ChalML-Gemini31Pro-Run3,AirPassengers,S1,ChalML,challenger_ml,Gemini31Pro,3,SCRIPT,LightGBM,"{""lags"": 12, ""learning_rate"": 0.05, ""max_depth"": 6, ""multi_step_strategy"": ""N/A"", ""n_estimators"": 300}",True,True,True,False,True,True,True,True,False,False,False,True,False,True,True,True,True,True,True,False,True,True,True,True,100.0,40.0,88.89,100.0,100.0,100.0,57.14,92.31,82.22,False
Part2-AirPassengers-S1-ChalML-GPT55-Run1,AirPassengers,S1,ChalML,challenger_ml,GPT55,1,SCRIPT,LightGBM,"{""lags"": 12, ""learning_rate"": 0.05, ""max_depth"": 6, ""multi_step_strategy"": ""N/A"", ""n_estimators"": 300}",True,True,True,False,True,True,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,100.0,60.0,77.78,100.0,100.0,100.0,71.43,84.62,84.44,False
Part2-AirPassengers-S1-ChalML-GPT55-Run2,AirPassengers,S1,ChalML,challenger_ml,GPT55,2,SCRIPT,LightGBM,"{""lags"": 12, ""learning_rate"": 0.05, ""max_depth"": 6, ""multi_step_strategy"": ""N/A"", ""n_estimators"": 300}",True,True,True,False,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,False,True,True,True,True,100.0,60.0,88.89,100.0,100.0,100.0,71.43,92.31,87.22,False
Part2-AirPassengers-S1-ChalML-GPT55-Run3,AirPassengers,S1,ChalML,challenger_ml,GPT55,3,SCRIPT,LightGBM,"{""lags"": 12, ""learning_rate"": 0.05, ""max_depth"": 6, ""multi_step_strategy"": ""N/A"", ""n_estimators"": 300}",True,True,True,False,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,False,True,True,True,True,100.0,60.0,88.89,100.0,100.0,100.0,71.43,92.31,87.22,False
Part2-AirPassengers-S1-ChalML-Grok43-Run1,AirPassengers,S1,ChalML,challenger_ml,Grok43,1,SCRIPT,LightGBM,"{""lags"": 12, ""learning_rate"": 0.05, ""max_depth"": 6, ""multi_step_strategy"": ""N/A"", ""n_estimators"": 300}",True,True,False,False,True,False,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,66.67,60.0,77.78,100.0,100.0,66.67,57.14,84.62,76.11,False
Part2-AirPassengers-S1-ChalML-Grok43-Run2,AirPassengers,S1,ChalML,challenger_ml,Grok43,2,SCRIPT,LightGBM,"{""lags"": 12, ""learning_rate"": 0.05, ""max_depth"": 6, ""multi_step_strategy"": ""N/A"", ""n_estimators"": 300}",True,True,False,False,True,False,True,True,False,False,True,True,False,True,True,True,True,False,False,False,True,True,True,True,66.67,60.0,66.67,100.0,100.0,66.67,57.14,76.92,73.34,False
Part2-AirPassengers-S1-ChalML-Grok43-Run3,AirPassengers,S1,ChalML,challenger_ml,Grok43,3,SCRIPT,LightGBM,"{""lags"": 12, ""learning_rate"": 0.05, ""max_depth"": 6, ""multi_step_strategy"": ""N/A"", ""n_estimators"": 300}",True,True,False,False,True,False,True,True,False,False,True,True,False,True,True,True,True,True,False,False,True,True,True,True,66.67,60.0,77.78,100.0,100.0,66.67,57.14,84.62,76.11,False
Part2-AirPassengers-S1-ChalML-KimiK26-Run1,AirPassengers,S1,ChalML,challenger_ml,KimiK26,1,SCRIPT,LightGBM,"{""lags"": 12, ""learning_rate"": 0.05, ""max_depth"": 6, ""multi_step_strategy"": ""N/A"", ""n_estimators"": 300}",True,True,True,False,True,True,True,True,False,False,False,True,False,True,True,True,True,False,True,True,True,True,True,True,100.0,40.0,88.89,100.0,100.0,100.0,57.14,92.31,82.22,False
Part2-AirPassengers-S1-ChalML-KimiK26-Run2,AirPassengers,S1,ChalML,challenger_ml,KimiK26,2,SCRIPT,LightGBM,"{""lags"": 12, ""learning_rate"": 0.05, ""max_depth"": 6, ""multi_step_strategy"": ""N/A"", ""n_estimators"": 300}",True,True,True,False,True,True,True,True,False,False,False,True,False,True,True,True,True,False,True,False,True,True,True,True,100.0,40.0,77.78,100.0,100.0,100.0,57.14,84.62,79.44,False
Part2-AirPassengers-S1-ChalML-KimiK26-Run3,AirPassengers,S1,ChalML,challenger_ml,KimiK26,3,SCRIPT,LightGBM,"{""lags"": 12, ""learning_rate"": 0.05, ""max_depth"": 6, ""multi_step_strategy"": ""N/A"", ""n_estimators"": 300}",True,True,True,False,True,True,True,True,False,False,False,True,False,True,True,True,True,False,True,False,True,True,True,True,100.0,40.0,77.78,100.0,100.0,100.0,57.14,84.62,79.44,False
Part2-AirPassengers-S2-Base-ClaudeOpus47-Run1,AirPassengers,S2,Base,baseline,ClaudeOpus47,1,SCRIPT,ExponentialSmoothing,"{""damped_trend"": false, ""seasonal"": ""mul"", ""seasonal_periods"": 12, ""trend"": ""add""}",True,True,True,False,True,True,True,True,False,True,True,True,False,True,True,True,True,True,False,False,True,,True,,100.0,80.0,77.78,100.0,100.0,100.0,85.71,81.82,89.44,False
Part2-AirPassengers-S2-Base-ClaudeOpus47-Run2,AirPassengers,S2,Base,baseline,ClaudeOpus47,2,SCRIPT,ExponentialSmoothing,"{""damped_trend"": false, ""seasonal"": ""mul"", ""seasonal_periods"": 12, ""trend"": ""add""}",True,True,True,False,True,True,True,True,False,True,True,True,False,True,True,True,True,True,False,False,True,,True,,100.0,80.0,77.78,100.0,100.0,100.0,85.71,81.82,89.44,False
Part2-AirPassengers-S2-Base-ClaudeOpus47-Run3,AirPassengers,S2,Base,baseline,ClaudeOpus47,3,SCRIPT,ExponentialSmoothing,"{""damped_trend"": false, ""seasonal"": ""mul"", ""seasonal_periods"": 12, ""trend"": ""add""}",True,True,True,False,True,True,True,True,False,True,True,True,False,True,True,True,True,True,False,False,True,,True,,100.0,80.0,77.78,100.0,100.0,100.0,85.71,81.82,89.44,False
