file_id,dataset,scenario,branch,llm_version,run_id,output_type,execution_status,forecast_length,expected_length,error_group,error_category,error,execution_log_file
Part2-AirPassengers-S3-Base-Gemini31Pro-Run2,AirPassengers,S3,Base,Gemini31Pro,2,SCRIPT,FAIL,348.0,29,model/output issue,FORECAST_PARSE_FAILURE,previous script execution failed; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-AirPassengers-S3-Base-Gemini31Pro-Run2.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-AirPassengers-S3-Base-Gemini31Pro-Run2.txt
Part2-AirPassengers-S3-Base-Gemini31Pro-Run3,AirPassengers,S3,Base,Gemini31Pro,3,SCRIPT,FAIL,348.0,29,model/output issue,FORECAST_PARSE_FAILURE,previous script execution failed; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-AirPassengers-S3-Base-Gemini31Pro-Run3.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-AirPassengers-S3-Base-Gemini31Pro-Run3.txt
Part2-AirPassengers-S3-ChalDL-DeepSeekV4Pro-Run1,AirPassengers,S3,ChalDL,DeepSeekV4Pro,1,SCRIPT,FAIL,,29,code issue,SCRIPT_TORCH_ERROR,previous script execution failed; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-AirPassengers-S3-ChalDL-DeepSeekV4Pro-Run1.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-AirPassengers-S3-ChalDL-DeepSeekV4Pro-Run1.txt
Part2-AirPassengers-S3-ChalDL-DeepSeekV4Pro-Run2,AirPassengers,S3,ChalDL,DeepSeekV4Pro,2,SCRIPT,FAIL,,29,code issue,SCRIPT_TORCH_ERROR,previous script execution failed; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-AirPassengers-S3-ChalDL-DeepSeekV4Pro-Run2.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-AirPassengers-S3-ChalDL-DeepSeekV4Pro-Run2.txt
Part2-AirPassengers-S3-ChalDL-Gemini31Pro-Run3,AirPassengers,S3,ChalDL,Gemini31Pro,3,SCRIPT,FAIL,,29,code issue,SCRIPT_TORCH_ERROR,previous script execution failed; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-AirPassengers-S3-ChalDL-Gemini31Pro-Run3.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-AirPassengers-S3-ChalDL-Gemini31Pro-Run3.txt
Part2-AirPassengers-S3-ChalDL-KimiK26-Run1,AirPassengers,S3,ChalDL,KimiK26,1,ERROR,FAIL,,29,model/output issue,MODEL_RETURNED_ERROR,unsupported output type: ERROR,
Part2-AirPassengers-S3-ChalDL-KimiK26-Run2,AirPassengers,S3,ChalDL,KimiK26,2,SCRIPT,FAIL,,29,code issue,SCRIPT_TORCH_ERROR,previous script execution failed; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-AirPassengers-S3-ChalDL-KimiK26-Run2.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-AirPassengers-S3-ChalDL-KimiK26-Run2.txt
Part2-AirPassengers-S3-ChalDL-KimiK26-Run3,AirPassengers,S3,ChalDL,KimiK26,3,LIST,FAIL,36.0,29,model/output issue,FORECAST_LENGTH_MISMATCH,"forecast length mismatch: expected 29, got 36",
Part2-AirPassengers-S3-ChalML-Gemini31Pro-Run1,AirPassengers,S3,ChalML,Gemini31Pro,1,SCRIPT,FAIL,348.0,29,model/output issue,FORECAST_NUMPY_WRAPPED,previous script execution failed; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-AirPassengers-S3-ChalML-Gemini31Pro-Run1.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-AirPassengers-S3-ChalML-Gemini31Pro-Run1.txt
Part2-AirPassengers-S3-ChalML-Gemini31Pro-Run2,AirPassengers,S3,ChalML,Gemini31Pro,2,SCRIPT,FAIL,348.0,29,model/output issue,FORECAST_PARSE_FAILURE,previous script execution failed; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-AirPassengers-S3-ChalML-Gemini31Pro-Run2.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-AirPassengers-S3-ChalML-Gemini31Pro-Run2.txt
Part2-AirPassengers-S3-ChalML-KimiK26-Run1,AirPassengers,S3,ChalML,KimiK26,1,LIST,FAIL,41.0,29,model/output issue,FORECAST_LENGTH_MISMATCH,"forecast length mismatch: expected 29, got 41",
Part2-AirPassengers-S4-Base-KimiK26-Run1,AirPassengers,S4,Base,KimiK26,1,LIST,FAIL,24.0,29,model/output issue,FORECAST_LENGTH_MISMATCH,"forecast length mismatch: expected 29, got 24",
Part2-AirPassengers-S4-Base-KimiK26-Run2,AirPassengers,S4,Base,KimiK26,2,LIST,FAIL,30.0,29,model/output issue,FORECAST_LENGTH_MISMATCH,"forecast length mismatch: expected 29, got 30",
Part2-AirPassengers-S4-ChalDL-Gemini31Pro-Run2,AirPassengers,S4,ChalDL,Gemini31Pro,2,SCRIPT,FAIL,,29,code issue,SCRIPT_TORCH_ERROR,previous script execution failed; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-AirPassengers-S4-ChalDL-Gemini31Pro-Run2.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-AirPassengers-S4-ChalDL-Gemini31Pro-Run2.txt
Part2-AirPassengers-S4-ChalDL-KimiK26-Run2,AirPassengers,S4,ChalDL,KimiK26,2,ERROR,FAIL,,29,model/output issue,MODEL_RETURNED_ERROR,unsupported output type: ERROR,
Part2-AirPassengers-S4-ChalML-DeepSeekV4Pro-Run3,AirPassengers,S4,ChalML,DeepSeekV4Pro,3,SCRIPT,FAIL,,29,code issue,SCRIPT_NAME_ERROR,previous script execution failed; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-AirPassengers-S4-ChalML-DeepSeekV4Pro-Run3.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-AirPassengers-S4-ChalML-DeepSeekV4Pro-Run3.txt
Part2-AirPassengers-S4-ChalML-Grok43-Run1,AirPassengers,S4,ChalML,Grok43,1,ERROR,FAIL,,29,model/output issue,MODEL_RETURNED_ERROR,unsupported output type: ERROR,
Part2-ETTh1-S1-Base-DeepSeekV4Pro-Run1,ETTh1,S1,Base,DeepSeekV4Pro,1,SCRIPT,FAIL,,3484,code issue,SCRIPT_VALUE_ERROR,previous script execution failed; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-ETTh1-S1-Base-DeepSeekV4Pro-Run1.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-ETTh1-S1-Base-DeepSeekV4Pro-Run1.txt
Part2-ETTh1-S1-Base-DeepSeekV4Pro-Run3,ETTh1,S1,Base,DeepSeekV4Pro,3,SCRIPT,FAIL,,3484,code issue,SCRIPT_VALUE_ERROR,previous script execution failed; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-ETTh1-S1-Base-DeepSeekV4Pro-Run3.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-ETTh1-S1-Base-DeepSeekV4Pro-Run3.txt
Part2-ETTh1-S1-ChalDL-ClaudeOpus47-Run1,ETTh1,S1,ChalDL,ClaudeOpus47,1,SCRIPT,FAIL,,3484,code issue,SCRIPT_ATTRIBUTE_ERROR,previous script execution failed; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-ETTh1-S1-ChalDL-ClaudeOpus47-Run1.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-ETTh1-S1-ChalDL-ClaudeOpus47-Run1.txt
Part2-ETTh1-S1-ChalDL-DeepSeekV4Pro-Run1,ETTh1,S1,ChalDL,DeepSeekV4Pro,1,SCRIPT,FAIL,,3484,code issue,SCRIPT_ATTRIBUTE_ERROR,previous script execution failed; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-ETTh1-S1-ChalDL-DeepSeekV4Pro-Run1.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-ETTh1-S1-ChalDL-DeepSeekV4Pro-Run1.txt
Part2-ETTh1-S1-ChalDL-DeepSeekV4Pro-Run2,ETTh1,S1,ChalDL,DeepSeekV4Pro,2,SCRIPT,FAIL,,3484,code issue,SCRIPT_EMPTY_OUTPUT,previous script execution failed; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-ETTh1-S1-ChalDL-DeepSeekV4Pro-Run2.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-ETTh1-S1-ChalDL-DeepSeekV4Pro-Run2.txt
Part2-ETTh1-S1-ChalDL-DeepSeekV4Pro-Run3,ETTh1,S1,ChalDL,DeepSeekV4Pro,3,SCRIPT,FAIL,,3484,code issue,SCRIPT_VALUE_ERROR,previous script execution failed; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-ETTh1-S1-ChalDL-DeepSeekV4Pro-Run3.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-ETTh1-S1-ChalDL-DeepSeekV4Pro-Run3.txt
Part2-ETTh1-S1-ChalDL-GPT55-Run1,ETTh1,S1,ChalDL,GPT55,1,SCRIPT,FAIL,,3484,code issue,SCRIPT_SYNTAX_ERROR,previous script execution failed; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-ETTh1-S1-ChalDL-GPT55-Run1.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-ETTh1-S1-ChalDL-GPT55-Run1.txt
Part2-ETTh1-S1-ChalDL-Grok43-Run1,ETTh1,S1,ChalDL,Grok43,1,ERROR,FAIL,,3484,model/output issue,MODEL_RETURNED_ERROR,unsupported output type: ERROR,
Part2-ETTh1-S1-ChalDL-KimiK26-Run1,ETTh1,S1,ChalDL,KimiK26,1,SCRIPT,FAIL,,3484,code issue,SCRIPT_RUNTIME_ERROR,previous script execution failed; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-ETTh1-S1-ChalDL-KimiK26-Run1.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-ETTh1-S1-ChalDL-KimiK26-Run1.txt
Part2-ETTh1-S1-ChalML-DeepSeekV4Pro-Run1,ETTh1,S1,ChalML,DeepSeekV4Pro,1,SCRIPT,FAIL,3404.0,3484,code issue,SCRIPT_MODEL_WARNING_OUTPUT,previous script execution failed; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-ETTh1-S1-ChalML-DeepSeekV4Pro-Run1.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-ETTh1-S1-ChalML-DeepSeekV4Pro-Run1.txt
Part2-ETTh1-S1-ChalML-DeepSeekV4Pro-Run2,ETTh1,S1,ChalML,DeepSeekV4Pro,2,SCRIPT,FAIL,3504.0,3484,code issue,SCRIPT_MODEL_WARNING_OUTPUT,previous script execution failed; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-ETTh1-S1-ChalML-DeepSeekV4Pro-Run2.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-ETTh1-S1-ChalML-DeepSeekV4Pro-Run2.txt
Part2-ETTh1-S1-ChalML-DeepSeekV4Pro-Run3,ETTh1,S1,ChalML,DeepSeekV4Pro,3,SCRIPT,FAIL,3404.0,3484,code issue,SCRIPT_MODEL_WARNING_OUTPUT,previous script execution failed; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-ETTh1-S1-ChalML-DeepSeekV4Pro-Run3.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-ETTh1-S1-ChalML-DeepSeekV4Pro-Run3.txt
Part2-ETTh1-S2-Base-DeepSeekV4Pro-Run1,ETTh1,S2,Base,DeepSeekV4Pro,1,SCRIPT,FAIL,,3484,code issue,SCRIPT_VALUE_ERROR,previous script execution failed; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-ETTh1-S2-Base-DeepSeekV4Pro-Run1.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-ETTh1-S2-Base-DeepSeekV4Pro-Run1.txt
Part2-ETTh1-S2-Base-DeepSeekV4Pro-Run2,ETTh1,S2,Base,DeepSeekV4Pro,2,SCRIPT,FAIL,,3484,runtime/infra issue,TIMEOUT,script timed out after 900s; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-ETTh1-S2-Base-DeepSeekV4Pro-Run2.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-ETTh1-S2-Base-DeepSeekV4Pro-Run2.txt
Part2-ETTh1-S2-Base-DeepSeekV4Pro-Run3,ETTh1,S2,Base,DeepSeekV4Pro,3,SCRIPT,FAIL,,3484,runtime/infra issue,TIMEOUT,script timed out after 900s; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-ETTh1-S2-Base-DeepSeekV4Pro-Run3.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-ETTh1-S2-Base-DeepSeekV4Pro-Run3.txt
Part2-ETTh1-S2-ChalDL-ClaudeOpus47-Run1,ETTh1,S2,ChalDL,ClaudeOpus47,1,SCRIPT,FAIL,,3484,code issue,SCRIPT_ATTRIBUTE_ERROR,previous script execution failed; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-ETTh1-S2-ChalDL-ClaudeOpus47-Run1.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-ETTh1-S2-ChalDL-ClaudeOpus47-Run1.txt
Part2-ETTh1-S2-ChalDL-DeepSeekV4Pro-Run1,ETTh1,S2,ChalDL,DeepSeekV4Pro,1,SCRIPT,FAIL,,3484,runtime/infra issue,TIMEOUT,script timed out after 900s; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-ETTh1-S2-ChalDL-DeepSeekV4Pro-Run1.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-ETTh1-S2-ChalDL-DeepSeekV4Pro-Run1.txt
Part2-ETTh1-S2-ChalDL-DeepSeekV4Pro-Run2,ETTh1,S2,ChalDL,DeepSeekV4Pro,2,SCRIPT,FAIL,,3484,runtime/infra issue,TIMEOUT,script timed out after 900s; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-ETTh1-S2-ChalDL-DeepSeekV4Pro-Run2.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-ETTh1-S2-ChalDL-DeepSeekV4Pro-Run2.txt
Part2-ETTh1-S2-ChalDL-DeepSeekV4Pro-Run3,ETTh1,S2,ChalDL,DeepSeekV4Pro,3,SCRIPT,FAIL,,3484,code issue,SCRIPT_KEY_ERROR,previous script execution failed; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-ETTh1-S2-ChalDL-DeepSeekV4Pro-Run3.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-ETTh1-S2-ChalDL-DeepSeekV4Pro-Run3.txt
Part2-ETTh1-S2-ChalDL-GPT55-Run1,ETTh1,S2,ChalDL,GPT55,1,SCRIPT,FAIL,,3484,code issue,SCRIPT_SYNTAX_ERROR,previous script execution failed; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-ETTh1-S2-ChalDL-GPT55-Run1.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-ETTh1-S2-ChalDL-GPT55-Run1.txt
Part2-ETTh1-S2-ChalDL-Gemini31Pro-Run1,ETTh1,S2,ChalDL,Gemini31Pro,1,SCRIPT,FAIL,,3484,runtime/infra issue,TIMEOUT,script timed out after 900s; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-ETTh1-S2-ChalDL-Gemini31Pro-Run1.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-ETTh1-S2-ChalDL-Gemini31Pro-Run1.txt
Part2-ETTh1-S2-ChalDL-Grok43-Run1,ETTh1,S2,ChalDL,Grok43,1,SCRIPT,FAIL,,3484,runtime/infra issue,TIMEOUT,script timed out after 900s; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-ETTh1-S2-ChalDL-Grok43-Run1.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-ETTh1-S2-ChalDL-Grok43-Run1.txt
Part2-ETTh1-S2-ChalDL-KimiK26-Run1,ETTh1,S2,ChalDL,KimiK26,1,SCRIPT,FAIL,,3484,code issue,SCRIPT_SYNTAX_ERROR,previous script execution failed; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-ETTh1-S2-ChalDL-KimiK26-Run1.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-ETTh1-S2-ChalDL-KimiK26-Run1.txt
Part2-ETTh1-S2-ChalML-DeepSeekV4Pro-Run3,ETTh1,S2,ChalML,DeepSeekV4Pro,3,SCRIPT,FAIL,3404.0,3484,model/output issue,FORECAST_NUMPY_WRAPPED,previous script execution failed; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-ETTh1-S2-ChalML-DeepSeekV4Pro-Run3.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-ETTh1-S2-ChalML-DeepSeekV4Pro-Run3.txt
Part2-ETTh1-S3-Base-DeepSeekV4Pro-Run1,ETTh1,S3,Base,DeepSeekV4Pro,1,SCRIPT,FAIL,,3484,runtime/infra issue,TIMEOUT,script timed out after 900s; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-ETTh1-S3-Base-DeepSeekV4Pro-Run1.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-ETTh1-S3-Base-DeepSeekV4Pro-Run1.txt
Part2-ETTh1-S3-Base-DeepSeekV4Pro-Run2,ETTh1,S3,Base,DeepSeekV4Pro,2,SCRIPT,FAIL,,3484,code issue,SCRIPT_KEY_ERROR,previous script execution failed; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-ETTh1-S3-Base-DeepSeekV4Pro-Run2.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-ETTh1-S3-Base-DeepSeekV4Pro-Run2.txt
Part2-ETTh1-S3-Base-DeepSeekV4Pro-Run3,ETTh1,S3,Base,DeepSeekV4Pro,3,SCRIPT,FAIL,,3484,runtime/infra issue,TIMEOUT,script timed out after 900s; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-ETTh1-S3-Base-DeepSeekV4Pro-Run3.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-ETTh1-S3-Base-DeepSeekV4Pro-Run3.txt
Part2-ETTh1-S3-ChalDL-ClaudeOpus47-Run1,ETTh1,S3,ChalDL,ClaudeOpus47,1,SCRIPT,FAIL,,3484,code issue,SCRIPT_ATTRIBUTE_ERROR,previous script execution failed; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-ETTh1-S3-ChalDL-ClaudeOpus47-Run1.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-ETTh1-S3-ChalDL-ClaudeOpus47-Run1.txt
Part2-ETTh1-S3-ChalDL-DeepSeekV4Pro-Run1,ETTh1,S3,ChalDL,DeepSeekV4Pro,1,SCRIPT,FAIL,,3484,runtime/infra issue,TIMEOUT,script timed out after 900s; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-ETTh1-S3-ChalDL-DeepSeekV4Pro-Run1.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-ETTh1-S3-ChalDL-DeepSeekV4Pro-Run1.txt
Part2-ETTh1-S3-ChalDL-DeepSeekV4Pro-Run2,ETTh1,S3,ChalDL,DeepSeekV4Pro,2,SCRIPT,FAIL,,3484,code issue,SCRIPT_TYPE_ERROR,previous script execution failed; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-ETTh1-S3-ChalDL-DeepSeekV4Pro-Run2.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-ETTh1-S3-ChalDL-DeepSeekV4Pro-Run2.txt
Part2-ETTh1-S3-ChalDL-DeepSeekV4Pro-Run3,ETTh1,S3,ChalDL,DeepSeekV4Pro,3,SCRIPT,FAIL,,3484,code issue,SCRIPT_VALUE_ERROR,previous script execution failed; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-ETTh1-S3-ChalDL-DeepSeekV4Pro-Run3.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-ETTh1-S3-ChalDL-DeepSeekV4Pro-Run3.txt
Part2-ETTh1-S3-ChalDL-GPT55-Run1,ETTh1,S3,ChalDL,GPT55,1,SCRIPT,FAIL,,3484,code issue,SCRIPT_SYNTAX_ERROR,previous script execution failed; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-ETTh1-S3-ChalDL-GPT55-Run1.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-ETTh1-S3-ChalDL-GPT55-Run1.txt
Part2-ETTh1-S3-ChalDL-Gemini31Pro-Run1,ETTh1,S3,ChalDL,Gemini31Pro,1,SCRIPT,FAIL,,3484,runtime/infra issue,TIMEOUT,script timed out after 900s; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-ETTh1-S3-ChalDL-Gemini31Pro-Run1.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-ETTh1-S3-ChalDL-Gemini31Pro-Run1.txt
Part2-ETTh1-S3-ChalDL-Grok43-Run1,ETTh1,S3,ChalDL,Grok43,1,SCRIPT,FAIL,,3484,runtime/infra issue,TIMEOUT,script timed out after 900s; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-ETTh1-S3-ChalDL-Grok43-Run1.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-ETTh1-S3-ChalDL-Grok43-Run1.txt
