dataset,scenario,llm_version,total_rows,ok_rows,failed_rows,Base_rows,Base_ok_rows,Base_ok_run_ids,ChalML_rows,ChalML_ok_rows,ChalML_ok_run_ids,ChalDL_rows,ChalDL_ok_rows,ChalDL_ok_run_ids,ChalML_paired_with_base_runs,ChalDL_paired_with_base_runs,complete_three_branch_runs
ETTh1,S2,DeepSeekV4Pro,9,2,7,3,0,,3,2,"1,2",3,0,,0,0,0
ETTh1,S2,GPT55,1,0,1,0,0,,0,0,,1,0,,0,0,0
ETTh1,S2,Gemini31Pro,1,0,1,0,0,,0,0,,1,0,,0,0,0
ETTh1,S2,Grok43,1,0,1,0,0,,0,0,,1,0,,0,0,0
ETTh1,S2,KimiK26,1,0,1,0,0,,0,0,,1,0,,0,0,0
ETTh1,S3,ClaudeOpus47,1,0,1,0,0,,0,0,,1,0,,0,0,0
ETTh1,S3,DeepSeekV4Pro,9,0,9,3,0,,3,0,,3,0,,0,0,0
ETTh1,S3,GPT55,1,0,1,0,0,,0,0,,1,0,,0,0,0
ETTh1,S3,Gemini31Pro,1,0,1,0,0,,0,0,,1,0,,0,0,0
ETTh1,S3,Grok43,1,0,1,0,0,,0,0,,1,0,,0,0,0
ETTh1,S3,KimiK26,1,0,1,0,0,,0,0,,1,0,,0,0,0
ETTh1,S4,ClaudeOpus47,1,0,1,0,0,,0,0,,1,0,,0,0,0
ETTh1,S4,DeepSeekV4Pro,9,1,8,3,0,,3,1,3,3,0,,0,0,0
ETTh1,S4,GPT55,1,0,1,0,0,,0,0,,1,0,,0,0,0
ETTh1,S4,Gemini31Pro,1,0,1,0,0,,0,0,,1,0,,0,0,0
ETTh1,S4,Grok43,1,0,1,0,0,,0,0,,1,0,,0,0,0
ETTh1,S4,KimiK26,1,0,1,0,0,,0,0,,1,0,,0,0,0
ILINet,S1,ClaudeOpus47,9,9,0,3,3,"1,2,3",3,3,"1,2,3",3,3,"1,2,3",3,3,3
ILINet,S1,DeepSeekV4Pro,9,0,9,3,0,,3,0,,3,0,,0,0,0
ILINet,S1,GPT55,9,9,0,3,3,"1,2,3",3,3,"1,2,3",3,3,"1,2,3",3,3,3
ILINet,S1,Gemini31Pro,9,8,1,3,3,"1,2,3",3,3,"1,2,3",3,2,"1,2",3,2,2
ILINet,S1,Grok43,9,0,9,3,0,,3,0,,3,0,,0,0,0
ILINet,S1,KimiK26,9,2,7,3,0,,3,2,"1,2",3,0,,0,0,0
ILINet,S2,ClaudeOpus47,9,5,4,3,0,,3,3,"1,2,3",3,2,"1,3",0,0,0
ILINet,S2,DeepSeekV4Pro,9,2,7,3,0,,3,1,1,3,1,1,0,0,0
ILINet,S2,GPT55,9,3,6,3,0,,3,3,"1,2,3",3,0,,0,0,0
ILINet,S2,Gemini31Pro,9,5,4,3,0,,3,2,"1,2",3,3,"1,2,3",0,0,0
ILINet,S2,Grok43,9,0,9,3,0,,3,0,,3,0,,0,0,0
ILINet,S2,KimiK26,9,2,7,3,0,,3,1,1,3,1,1,0,0,0
ILINet,S3,ClaudeOpus47,9,3,6,3,0,,3,2,"1,2",3,1,3,0,0,0
ILINet,S3,DeepSeekV4Pro,9,1,8,3,0,,3,1,2,3,0,,0,0,0
ILINet,S3,GPT55,9,6,3,3,0,,3,3,"1,2,3",3,3,"1,2,3",0,0,0
ILINet,S3,Gemini31Pro,9,6,3,3,0,,3,3,"1,2,3",3,3,"1,2,3",0,0,0
ILINet,S3,Grok43,9,0,9,3,0,,3,0,,3,0,,0,0,0
ILINet,S3,KimiK26,9,4,5,3,0,,3,1,1,3,3,"1,2,3",0,0,0
ILINet,S4,ClaudeOpus47,9,7,2,3,1,3,3,3,"1,2,3",3,3,"1,2,3",1,1,1
ILINet,S4,DeepSeekV4Pro,9,2,7,3,0,,3,1,2,3,1,2,0,0,0
ILINet,S4,GPT55,9,6,3,3,0,,3,3,"1,2,3",3,3,"1,2,3",0,0,0
ILINet,S4,Gemini31Pro,9,9,0,3,3,"1,2,3",3,3,"1,2,3",3,3,"1,2,3",3,3,3
ILINet,S4,Grok43,9,0,9,3,0,,3,0,,3,0,,0,0,0
ILINet,S4,KimiK26,9,5,4,3,0,,3,2,"1,3",3,3,"1,2,3",0,0,0
IceCreamHeater,S1,ClaudeOpus47,9,9,0,3,3,"1,2,3",3,3,"1,2,3",3,3,"1,2,3",3,3,3
IceCreamHeater,S1,DeepSeekV4Pro,9,8,1,3,3,"1,2,3",3,3,"1,2,3",3,2,"2,3",3,2,2
IceCreamHeater,S1,GPT55,9,9,0,3,3,"1,2,3",3,3,"1,2,3",3,3,"1,2,3",3,3,3
IceCreamHeater,S1,Gemini31Pro,9,9,0,3,3,"1,2,3",3,3,"1,2,3",3,3,"1,2,3",3,3,3
IceCreamHeater,S1,Grok43,9,8,1,3,3,"1,2,3",3,3,"1,2,3",3,2,"1,3",3,2,2
IceCreamHeater,S1,KimiK26,9,8,1,3,3,"1,2,3",3,2,"1,2",3,3,"1,2,3",2,3,2
IceCreamHeater,S2,ClaudeOpus47,9,9,0,3,3,"1,2,3",3,3,"1,2,3",3,3,"1,2,3",3,3,3
IceCreamHeater,S2,DeepSeekV4Pro,9,8,1,3,2,"1,3",3,3,"1,2,3",3,3,"1,2,3",2,2,2
IceCreamHeater,S2,GPT55,9,9,0,3,3,"1,2,3",3,3,"1,2,3",3,3,"1,2,3",3,3,3
IceCreamHeater,S2,Gemini31Pro,9,9,0,3,3,"1,2,3",3,3,"1,2,3",3,3,"1,2,3",3,3,3
IceCreamHeater,S2,Grok43,9,8,1,3,2,"2,3",3,3,"1,2,3",3,3,"1,2,3",2,2,2
IceCreamHeater,S2,KimiK26,9,7,2,3,2,"2,3",3,2,"1,3",3,3,"1,2,3",1,2,1
IceCreamHeater,S3,ClaudeOpus47,9,6,3,3,1,2,3,3,"1,2,3",3,2,"1,2",1,1,1
IceCreamHeater,S3,DeepSeekV4Pro,9,6,3,3,2,"1,3",3,2,"2,3",3,2,"1,3",1,2,1
IceCreamHeater,S3,GPT55,9,5,4,3,0,,3,3,"1,2,3",3,2,"1,2",0,0,0
IceCreamHeater,S3,Gemini31Pro,9,2,7,3,0,,3,0,,3,2,"1,3",0,0,0
IceCreamHeater,S3,Grok43,9,9,0,3,3,"1,2,3",3,3,"1,2,3",3,3,"1,2,3",3,3,3
IceCreamHeater,S3,KimiK26,9,3,6,3,1,3,3,0,,3,2,"1,2",0,0,0
IceCreamHeater,S4,ClaudeOpus47,9,9,0,3,3,"1,2,3",3,3,"1,2,3",3,3,"1,2,3",3,3,3
IceCreamHeater,S4,DeepSeekV4Pro,9,9,0,3,3,"1,2,3",3,3,"1,2,3",3,3,"1,2,3",3,3,3
IceCreamHeater,S4,GPT55,9,9,0,3,3,"1,2,3",3,3,"1,2,3",3,3,"1,2,3",3,3,3
IceCreamHeater,S4,Gemini31Pro,9,9,0,3,3,"1,2,3",3,3,"1,2,3",3,3,"1,2,3",3,3,3
IceCreamHeater,S4,Grok43,9,5,4,3,3,"1,2,3",3,1,3,3,1,3,1,1,1
IceCreamHeater,S4,KimiK26,9,7,2,3,1,1,3,3,"1,2,3",3,3,"1,2,3",1,1,1
Temperature,S1,ClaudeOpus47,9,4,5,3,0,,3,2,"1,3",3,2,"1,3",0,0,0
Temperature,S1,DeepSeekV4Pro,9,3,6,3,0,,3,2,"1,3",3,1,2,0,0,0
Temperature,S1,GPT55,9,0,9,3,0,,3,0,,3,0,,0,0,0
Temperature,S1,Gemini31Pro,9,3,6,3,0,,3,1,1,3,2,"1,2",0,0,0
Temperature,S1,Grok43,9,4,5,3,0,,3,3,"1,2,3",3,1,2,0,0,0
Temperature,S1,KimiK26,9,3,6,3,0,,3,1,3,3,2,"1,3",0,0,0
Temperature,S2,ClaudeOpus47,9,2,7,3,0,,3,2,"1,2",3,0,,0,0,0
Temperature,S2,DeepSeekV4Pro,9,1,8,3,0,,3,1,3,3,0,,0,0,0
Temperature,S2,GPT55,9,3,6,3,0,,3,3,"1,2,3",3,0,,0,0,0
Temperature,S2,Gemini31Pro,9,2,7,3,0,,3,2,"1,3",3,0,,0,0,0
Temperature,S2,Grok43,9,2,7,3,0,,3,2,"1,3",3,0,,0,0,0
Temperature,S2,KimiK26,9,3,6,3,0,,3,3,"1,2,3",3,0,,0,0,0
Temperature,S3,ClaudeOpus47,9,1,8,3,0,,3,1,2,3,0,,0,0,0
Temperature,S3,DeepSeekV4Pro,9,0,9,3,0,,3,0,,3,0,,0,0,0
Temperature,S3,GPT55,9,1,8,3,0,,3,1,1,3,0,,0,0,0
Temperature,S3,Gemini31Pro,9,0,9,3,0,,3,0,,3,0,,0,0,0
Temperature,S3,Grok43,9,1,8,3,0,,3,1,3,3,0,,0,0,0
Temperature,S3,KimiK26,9,0,9,3,0,,3,0,,3,0,,0,0,0
Temperature,S4,ClaudeOpus47,9,3,6,3,0,,3,3,"1,2,3",3,0,,0,0,0
Temperature,S4,DeepSeekV4Pro,9,2,7,3,0,,3,2,"2,3",3,0,,0,0,0
Temperature,S4,GPT55,9,3,6,3,0,,3,3,"1,2,3",3,0,,0,0,0
Temperature,S4,Gemini31Pro,9,2,7,3,0,,3,2,"1,3",3,0,,0,0,0
Temperature,S4,Grok43,9,3,6,3,0,,3,3,"1,2,3",3,0,,0,0,0
Temperature,S4,KimiK26,9,0,9,3,0,,3,0,,3,0,,0,0,0
